"province","ioic_industry","year","count"
"Canada","Dairy product manufacturing  [BS31150]","2019",510
"Canada","Dairy product manufacturing  [BS31150]","2020",509
"Canada","Dairy product manufacturing  [BS31150]","2021",524
"Canada","Meat product manufacturing  [BS31160]","2012",1050
"Canada","Meat product manufacturing  [BS31160]","2013",895
"Canada","Meat product manufacturing  [BS31160]","2014",934
"Canada","Meat product manufacturing  [BS31160]","2015",1020
"Canada","Meat product manufacturing  [BS31160]","2016",1160
"Canada","Meat product manufacturing  [BS31160]","2017",1201
"Canada","Meat product manufacturing  [BS31160]","2018",1083
"Canada","Meat product manufacturing  [BS31160]","2019",1151
"Canada","Meat product manufacturing  [BS31160]","2020",1146
"Canada","Meat product manufacturing  [BS31160]","2021",1187
"Canada","Seafood product preparation and packaging  [BS31170]","2012",165
"Canada","Seafood product preparation and packaging  [BS31170]","2013",180
"Canada","Seafood product preparation and packaging  [BS31170]","2014",181
"Canada","Seafood product preparation and packaging  [BS31170]","2015",154
"Canada","Seafood product preparation and packaging  [BS31170]","2016",178
"Canada","Seafood product preparation and packaging  [BS31170]","2017",142
"Canada","Seafood product preparation and packaging  [BS31170]","2018",143
"Canada","Seafood product preparation and packaging  [BS31170]","2019",143
"Canada","Seafood product preparation and packaging  [BS31170]","2020",113
"Canada","Seafood product preparation and packaging  [BS31170]","2021",113
"Canada","Miscellaneous food manufacturing  [BS311A0]","2012",1872
"Canada","Miscellaneous food manufacturing  [BS311A0]","2013",2262
"Canada","Miscellaneous food manufacturing  [BS311A0]","2014",2093
"Canada","Miscellaneous food manufacturing  [BS311A0]","2015",2209
"Canada","Miscellaneous food manufacturing  [BS311A0]","2016",2072
"Canada","Miscellaneous food manufacturing  [BS311A0]","2017",2083
"Canada","Miscellaneous food manufacturing  [BS311A0]","2018",2269
"Canada","Miscellaneous food manufacturing  [BS311A0]","2019",2302
"Canada","Miscellaneous food manufacturing  [BS311A0]","2020",2107
"Canada","Miscellaneous food manufacturing  [BS311A0]","2021",2101
"Canada","Soft drink and ice manufacturing  [BS31211]","2012",192
"Canada","Soft drink and ice manufacturing  [BS31211]","2013",171
"Canada","Soft drink and ice manufacturing  [BS31211]","2014",186
"Canada","Soft drink and ice manufacturing  [BS31211]","2015",202
"Canada","Soft drink and ice manufacturing  [BS31211]","2016",223
"Canada","Soft drink and ice manufacturing  [BS31211]","2017",222
"Canada","Soft drink and ice manufacturing  [BS31211]","2018",197
"Canada","Soft drink and ice manufacturing  [BS31211]","2019",153
"Canada","Soft drink and ice manufacturing  [BS31211]","2020",127
"Canada","Soft drink and ice manufacturing  [BS31211]","2021",137
"Canada","Breweries  [BS31212]","2012",363
"Canada","Breweries  [BS31212]","2013",396
"Canada","Breweries  [BS31212]","2014",461
"Canada","Breweries  [BS31212]","2015",509
"Canada","Breweries  [BS31212]","2016",487
"Canada","Breweries  [BS31212]","2017",514
"Canada","Breweries  [BS31212]","2018",404
"Canada","Breweries  [BS31212]","2019",411
"Canada","Breweries  [BS31212]","2020",455
"Canada","Breweries  [BS31212]","2021",458
"Canada","Wineries and distilleries  [BS3121A]","2012",234
"Canada","Wineries and distilleries  [BS3121A]","2013",289
"Canada","Wineries and distilleries  [BS3121A]","2014",290
"Canada","Wineries and distilleries  [BS3121A]","2015",250
"Canada","Wineries and distilleries  [BS3121A]","2016",264
"Canada","Wineries and distilleries  [BS3121A]","2017",247
"Canada","Wineries and distilleries  [BS3121A]","2018",287
"Canada","Wineries and distilleries  [BS3121A]","2019",207
"Canada","Wineries and distilleries  [BS3121A]","2020",221
"Canada","Wineries and distilleries  [BS3121A]","2021",214
"Canada","Tobacco manufacturing  [BS31220]","2012",16
"Canada","Tobacco manufacturing  [BS31220]","2013",18
"Canada","Tobacco manufacturing  [BS31220]","2014",23
"Canada","Tobacco manufacturing  [BS31220]","2015",31
"Canada","Tobacco manufacturing  [BS31220]","2016",34
"Canada","Tobacco manufacturing  [BS31220]","2017",36
"Canada","Tobacco manufacturing  [BS31220]","2018",21
"Canada","Tobacco manufacturing  [BS31220]","2019",25
"Canada","Tobacco manufacturing  [BS31220]","2020",23
"Canada","Tobacco manufacturing  [BS31220]","2021",25
"Canada","Textile and textile product mills  [BS31A00]","2012",180
"Canada","Textile and textile product mills  [BS31A00]","2013",260
"Canada","Textile and textile product mills  [BS31A00]","2014",193
"Canada","Textile and textile product mills  [BS31A00]","2015",162
"Canada","Textile and textile product mills  [BS31A00]","2016",150
"Canada","Textile and textile product mills  [BS31A00]","2017",154
"Canada","Textile and textile product mills  [BS31A00]","2018",160
"Canada","Textile and textile product mills  [BS31A00]","2019",166
"Canada","Textile and textile product mills  [BS31A00]","2020",159
"Canada","Textile and textile product mills  [BS31A00]","2021",170
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2012",64
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2013",82
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2014",46
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2015",61
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2016",66
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2017",57
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2018",56
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2019",60
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2020",46
"Canada","Clothing and leather and allied product manufacturing  [BS31B00]","2021",49
"Canada","Wood product manufacturing  [BS32100] 12","2012",9255
"Canada","Wood product manufacturing  [BS32100] 12","2013",10581
"Canada","Wood product manufacturing  [BS32100] 12","2014",10887
"Canada","Wood product manufacturing  [BS32100] 12","2015",10112
"Canada","Wood product manufacturing  [BS32100] 12","2016",8912
"Canada","Wood product manufacturing  [BS32100] 12","2017",11225
"Canada","Wood product manufacturing  [BS32100] 12","2018",10746
"Canada","Wood product manufacturing  [BS32100] 12","2019",10492
"Canada","Wood product manufacturing  [BS32100] 12","2020",9869
"Canada","Wood product manufacturing  [BS32100] 12","2021",10581
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2012",39153
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2013",41143
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2014",42554
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2015",42310
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2016",39261
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2017",38411
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2018",40892
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2019",40038
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2020",35908
"Canada","Pulp, paper and paperboard mills  [BS32210] 12","2021",36831
"Canada","Converted paper product manufacturing  [BS32220]","2012",495
"Canada","Converted paper product manufacturing  [BS32220]","2013",605
"Canada","Converted paper product manufacturing  [BS32220]","2014",613
"Canada","Converted paper product manufacturing  [BS32220]","2015",505
"Canada","Converted paper product manufacturing  [BS32220]","2016",474
"Canada","Converted paper product manufacturing  [BS32220]","2017",544
"Canada","Converted paper product manufacturing  [BS32220]","2018",546
"Canada","Converted paper product manufacturing  [BS32220]","2019",542
"Canada","Converted paper product manufacturing  [BS32220]","2020",583
"Canada","Converted paper product manufacturing  [BS32220]","2021",657
"Canada","Printing and related support activities  [BS32300]","2012",260
"Canada","Printing and related support activities  [BS32300]","2013",298
"Canada","Printing and related support activities  [BS32300]","2014",271
"Canada","Printing and related support activities  [BS32300]","2015",267
"Canada","Printing and related support activities  [BS32300]","2016",313
"Canada","Printing and related support activities  [BS32300]","2017",330
"Canada","Printing and related support activities  [BS32300]","2018",308
"Canada","Printing and related support activities  [BS32300]","2019",277
"Canada","Printing and related support activities  [BS32300]","2020",219
"Canada","Printing and related support activities  [BS32300]","2021",225
"Canada","Petroleum and coal product manufacturing  [BS32400]","2012",24025
"Canada","Petroleum and coal product manufacturing  [BS32400]","2013",23265
"Canada","Petroleum and coal product manufacturing  [BS32400]","2014",21992
"Canada","Petroleum and coal product manufacturing  [BS32400]","2015",21308
"Canada","Petroleum and coal product manufacturing  [BS32400]","2016",22089
"Canada","Petroleum and coal product manufacturing  [BS32400]","2017",20252
"Canada","Petroleum and coal product manufacturing  [BS32400]","2018",20414
"Canada","Petroleum and coal product manufacturing  [BS32400]","2019",22529
"Canada","Petroleum and coal product manufacturing  [BS32400]","2020",19257
"Canada","Petroleum and coal product manufacturing  [BS32400]","2021",20509
"Canada","Basic chemical manufacturing  [BS32510]","2012",13246
"Canada","Basic chemical manufacturing  [BS32510]","2013",12349
"Canada","Basic chemical manufacturing  [BS32510]","2014",11517
"Canada","Basic chemical manufacturing  [BS32510]","2015",12194
"Canada","Basic chemical manufacturing  [BS32510]","2016",11408
"Canada","Basic chemical manufacturing  [BS32510]","2017",10759
"Canada","Basic chemical manufacturing  [BS32510]","2018",12063
"Canada","Basic chemical manufacturing  [BS32510]","2019",12219
"Canada","Basic chemical manufacturing  [BS32510]","2020",12254
"Canada","Basic chemical manufacturing  [BS32510]","2021",12446
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2012",6168
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2013",6758
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2014",6342
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2015",6722
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2016",6987
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2017",6216
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2018",5881
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2019",6115
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2020",6050
"Canada","Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","2021",6071
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2012",235
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2013",190
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2014",258
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2015",263
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2016",426
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2017",297
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2018",277
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2019",274
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2020",271
"Canada","Pharmaceutical and medicine manufacturing  [BS32540]","2021",264
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2012",2120
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2013",2212
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2014",3028
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2015",3015
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2016",2795
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2017",2168
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2018",1709
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2019",1112
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2020",1425
"Canada","Miscellaneous chemical product manufacturing  [BS325C0] 13","2021",1483
"Canada","Plastic product manufacturing  [BS32610]","2012",630
"Canada","Plastic product manufacturing  [BS32610]","2013",830
"Canada","Plastic product manufacturing  [BS32610]","2014",723
"Canada","Plastic product manufacturing  [BS32610]","2015",750
"Canada","Plastic product manufacturing  [BS32610]","2016",804
"Canada","Plastic product manufacturing  [BS32610]","2017",824
"Canada","Plastic product manufacturing  [BS32610]","2018",676
"Canada","Plastic product manufacturing  [BS32610]","2019",730
"Canada","Plastic product manufacturing  [BS32610]","2020",660
"Canada","Plastic product manufacturing  [BS32610]","2021",690
"Canada","Rubber product manufacturing  [BS32620]","2012",258
"Canada","Rubber product manufacturing  [BS32620]","2013",192
"Canada","Rubber product manufacturing  [BS32620]","2014",232
"Canada","Rubber product manufacturing  [BS32620]","2015",245
"Canada","Rubber product manufacturing  [BS32620]","2016",236
"Canada","Rubber product manufacturing  [BS32620]","2017",270
"Canada","Rubber product manufacturing  [BS32620]","2018",255
"Canada","Rubber product manufacturing  [BS32620]","2019",256
"Canada","Rubber product manufacturing  [BS32620]","2020",179
"Canada","Rubber product manufacturing  [BS32620]","2021",197
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2012",3438
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2013",2950
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2014",2988
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2015",3011
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2016",2761
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2017",2828
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2018",2414
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2019",2450
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2020",2294
"Canada","Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0]","2021",2586
"Canada","Cement and concrete product manufacturing  [BS32730]","2012",10855
"Canada","Cement and concrete product manufacturing  [BS32730]","2013",10149
"Canada","Cement and concrete product manufacturing  [BS32730]","2014",10604
"Canada","Cement and concrete product manufacturing  [BS32730]","2015",10307
"Canada","Cement and concrete product manufacturing  [BS32730]","2016",10724
"Canada","Cement and concrete product manufacturing  [BS32730]","2017",11929
"Canada","Cement and concrete product manufacturing  [BS32730]","2018",12139
"Canada","Cement and concrete product manufacturing  [BS32730]","2019",12284
"Canada","Cement and concrete product manufacturing  [BS32730]","2020",11118
"Canada","Cement and concrete product manufacturing  [BS32730]","2021",12114
"Canada","Primary metal manufacturing  [BS33100]","2012",24532
"Canada","Primary metal manufacturing  [BS33100]","2013",22771
"Canada","Primary metal manufacturing  [BS33100]","2014",24164
"Canada","Primary metal manufacturing  [BS33100]","2015",23811
"Canada","Primary metal manufacturing  [BS33100]","2016",24905
"Canada","Primary metal manufacturing  [BS33100]","2017",24413
"Canada","Primary metal manufacturing  [BS33100]","2018",24254
"Canada","Primary metal manufacturing  [BS33100]","2019",23367
"Canada","Primary metal manufacturing  [BS33100]","2020",20760
"Canada","Primary metal manufacturing  [BS33100]","2021",22244
"Canada","Fabricated metal product manufacturing  [BS33200]","2012",1696
"Canada","Fabricated metal product manufacturing  [BS33200]","2013",1958
"Canada","Fabricated metal product manufacturing  [BS33200]","2014",1624
"Canada","Fabricated metal product manufacturing  [BS33200]","2015",1596
"Canada","Fabricated metal product manufacturing  [BS33200]","2016",1711
"Canada","Fabricated metal product manufacturing  [BS33200]","2017",1609
"Canada","Fabricated metal product manufacturing  [BS33200]","2018",1694
"Canada","Fabricated metal product manufacturing  [BS33200]","2019",1697
"Canada","Fabricated metal product manufacturing  [BS33200]","2020",1593
"Canada","Fabricated metal product manufacturing  [BS33200]","2021",1707
"Canada","Machinery manufacturing  [BS33300]","2012",860
"Canada","Machinery manufacturing  [BS33300]","2013",926
"Canada","Machinery manufacturing  [BS33300]","2014",891
"Canada","Machinery manufacturing  [BS33300]","2015",859
"Canada","Machinery manufacturing  [BS33300]","2016",778
"Canada","Machinery manufacturing  [BS33300]","2017",882
"Canada","Machinery manufacturing  [BS33300]","2018",871
"Canada","Machinery manufacturing  [BS33300]","2019",909
"Canada","Machinery manufacturing  [BS33300]","2020",756
"Canada","Machinery manufacturing  [BS33300]","2021",779
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2012",14
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2013",10
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2014",16
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2015",12
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2016",10
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2017",7
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2018",8
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2019",9
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2020",8
"Canada","Computer and peripheral equipment manufacturing  [BS33410]","2021",9
"Canada","Electronic product manufacturing  [BS334B0]","2012",116
"Canada","Electronic product manufacturing  [BS334B0]","2013",125
"Canada","Electronic product manufacturing  [BS334B0]","2014",105
"Canada","Electronic product manufacturing  [BS334B0]","2015",128
"Canada","Electronic product manufacturing  [BS334B0]","2016",160
"Canada","Electronic product manufacturing  [BS334B0]","2017",111
"Canada","Electronic product manufacturing  [BS334B0]","2018",105
"Canada","Electronic product manufacturing  [BS334B0]","2019",119
"Canada","Electronic product manufacturing  [BS334B0]","2020",105
"Canada","Electronic product manufacturing  [BS334B0]","2021",110
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2012",207
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2013",192
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2014",170
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2015",154
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2016",152
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2017",142
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2018",141
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2019",146
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2020",117
"Canada","Electrical  equipment and component manufacturing  [BS335A0]","2021",121
"Canada","Household appliance manufacturing  [BS33520]","2012",31
"Canada","Household appliance manufacturing  [BS33520]","2013",26
"Canada","Household appliance manufacturing  [BS33520]","2014",14
"Canada","Household appliance manufacturing  [BS33520]","2015",15
"Canada","Household appliance manufacturing  [BS33520]","2016",14
"Canada","Household appliance manufacturing  [BS33520]","2017",15
"Canada","Household appliance manufacturing  [BS33520]","2018",15
"Canada","Household appliance manufacturing  [BS33520]","2019",14
"Canada","Household appliance manufacturing  [BS33520]","2020",20
"Canada","Household appliance manufacturing  [BS33520]","2021",21
"Canada","Motor vehicle manufacturing  [BS33610]","2012",638
"Canada","Motor vehicle manufacturing  [BS33610]","2013",663
"Canada","Motor vehicle manufacturing  [BS33610]","2014",687
"Canada","Motor vehicle manufacturing  [BS33610]","2015",680
"Canada","Motor vehicle manufacturing  [BS33610]","2016",616
"Canada","Motor vehicle manufacturing  [BS33610]","2017",664
"Canada","Motor vehicle manufacturing  [BS33610]","2018",737
"Canada","Motor vehicle manufacturing  [BS33610]","2019",750
"Canada","Motor vehicle manufacturing  [BS33610]","2020",555
"Canada","Motor vehicle manufacturing  [BS33610]","2021",496
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2012",101
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2013",124
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2014",95
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2015",90
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2016",88
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2017",84
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2018",79
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2019",86
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2020",63
"Canada","Motor vehicle body and trailer manufacturing  [BS33620]","2021",66
"Canada","Motor vehicle parts manufacturing  [BS33630]","2012",355
"Canada","Motor vehicle parts manufacturing  [BS33630]","2013",365
"Canada","Motor vehicle parts manufacturing  [BS33630]","2014",354
"Canada","Motor vehicle parts manufacturing  [BS33630]","2015",381
"Canada","Motor vehicle parts manufacturing  [BS33630]","2016",415
"Canada","Motor vehicle parts manufacturing  [BS33630]","2017",420
"Canada","Motor vehicle parts manufacturing  [BS33630]","2018",418
"Canada","Motor vehicle parts manufacturing  [BS33630]","2019",387
"Canada","Motor vehicle parts manufacturing  [BS33630]","2020",314
"Canada","Motor vehicle parts manufacturing  [BS33630]","2021",323
"Canada","Aerospace product and parts manufacturing  [BS33640]","2012",200
"Canada","Aerospace product and parts manufacturing  [BS33640]","2013",272
"Canada","Aerospace product and parts manufacturing  [BS33640]","2014",315
"Canada","Aerospace product and parts manufacturing  [BS33640]","2015",345
"Canada","Aerospace product and parts manufacturing  [BS33640]","2016",364
"Canada","Aerospace product and parts manufacturing  [BS33640]","2017",384
"Canada","Aerospace product and parts manufacturing  [BS33640]","2018",317
"Canada","Aerospace product and parts manufacturing  [BS33640]","2019",369
"Canada","Aerospace product and parts manufacturing  [BS33640]","2020",250
"Canada","Aerospace product and parts manufacturing  [BS33640]","2021",267
"Canada","Railroad rolling stock manufacturing  [BS33650]","2012",16
"Canada","Railroad rolling stock manufacturing  [BS33650]","2013",11
"Canada","Railroad rolling stock manufacturing  [BS33650]","2014",9
"Canada","Railroad rolling stock manufacturing  [BS33650]","2015",22
"Canada","Railroad rolling stock manufacturing  [BS33650]","2016",24
"Canada","Railroad rolling stock manufacturing  [BS33650]","2017",16
"Canada","Railroad rolling stock manufacturing  [BS33650]","2018",20
"Canada","Railroad rolling stock manufacturing  [BS33650]","2019",19
"Canada","Railroad rolling stock manufacturing  [BS33650]","2020",16
"Canada","Railroad rolling stock manufacturing  [BS33650]","2021",17
"Canada","Ship and boat building  [BS33660]","2012",21
"Canada","Ship and boat building  [BS33660]","2013",21
"Canada","Ship and boat building  [BS33660]","2014",24
"Canada","Ship and boat building  [BS33660]","2015",33
"Canada","Ship and boat building  [BS33660]","2016",29
"Canada","Ship and boat building  [BS33660]","2017",36
"Canada","Ship and boat building  [BS33660]","2018",35
"Canada","Ship and boat building  [BS33660]","2019",36
"Canada","Ship and boat building  [BS33660]","2020",36
"Canada","Ship and boat building  [BS33660]","2021",39
"Canada","Other transportation equipment manufacturing  [BS33690]","2012",30
"Canada","Other transportation equipment manufacturing  [BS33690]","2013",55
"Canada","Other transportation equipment manufacturing  [BS33690]","2014",49
"Canada","Other transportation equipment manufacturing  [BS33690]","2015",43
"Canada","Other transportation equipment manufacturing  [BS33690]","2016",44
"Canada","Other transportation equipment manufacturing  [BS33690]","2017",55
"Canada","Other transportation equipment manufacturing  [BS33690]","2018",40
"Canada","Other transportation equipment manufacturing  [BS33690]","2019",47
"Canada","Other transportation equipment manufacturing  [BS33690]","2020",44
"Canada","Other transportation equipment manufacturing  [BS33690]","2021",47
"Canada","Furniture and related product manufacturing  [BS33700]","2012",445
"Canada","Furniture and related product manufacturing  [BS33700]","2013",436
"Canada","Furniture and related product manufacturing  [BS33700]","2014",322
"Canada","Furniture and related product manufacturing  [BS33700]","2015",437
"Canada","Furniture and related product manufacturing  [BS33700]","2016",475
"Canada","Furniture and related product manufacturing  [BS33700]","2017",417
"Canada","Furniture and related product manufacturing  [BS33700]","2018",379
"Canada","Furniture and related product manufacturing  [BS33700]","2019",381
"Canada","Furniture and related product manufacturing  [BS33700]","2020",309
"Canada","Furniture and related product manufacturing  [BS33700]","2021",321
"Canada","Miscellaneous manufacturing  [BS33900]","2012",266
"Canada","Miscellaneous manufacturing  [BS33900]","2013",322
"Canada","Miscellaneous manufacturing  [BS33900]","2014",259
"Canada","Miscellaneous manufacturing  [BS33900]","2015",311
"Canada","Miscellaneous manufacturing  [BS33900]","2016",325
"Canada","Miscellaneous manufacturing  [BS33900]","2017",294
"Canada","Miscellaneous manufacturing  [BS33900]","2018",335
"Canada","Miscellaneous manufacturing  [BS33900]","2019",344
"Canada","Miscellaneous manufacturing  [BS33900]","2020",329
"Canada","Miscellaneous manufacturing  [BS33900]","2021",345
"Canada","Total, households","2012",128252
"Canada","Total, households","2013",135150
"Canada","Total, households","2014",133205
"Canada","Total, households","2015",132343
"Canada","Total, households","2016",131078
"Canada","Total, households","2017",134331
"Canada","Total, households","2018",137433
"Canada","Total, households","2019",136491
"Canada","Total, households","2020",114160
"Canada","Total, households","2021",114219
"Canada","Households: Motor fuels and lubricants","2012",77047
"Canada","Households: Motor fuels and lubricants","2013",80658
"Canada","Households: Motor fuels and lubricants","2014",78592
"Canada","Households: Motor fuels and lubricants","2015",78447
"Canada","Households: Motor fuels and lubricants","2016",79612
"Canada","Households: Motor fuels and lubricants","2017",81909
"Canada","Households: Motor fuels and lubricants","2018",83505
"Canada","Households: Motor fuels and lubricants","2019",85102
"Canada","Households: Motor fuels and lubricants","2020",66326
"Canada","Households: Motor fuels and lubricants","2021",68329
"Canada","Households: Electricity and other fuels","2012",51204
"Canada","Households: Electricity and other fuels","2013",54492
