Physical flow account for greenhouse gas emissions c 1 2 3 4 5 6 7 8 9 10 11,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Table: 38-10-0097-01 (formerly CANSIM 153-0114),,,,,,,,,,,
Release date: 2023-12-20,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Insurance carriers  [BS52410],3,2,2,2,2,2,1,1,0s,0s
,Lessors of real estate  [BS53110],66,121,130,106,99,66,41,49,43,40
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],9,16,29,41,39,35,33,32,28,29
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",39,46,51,45,40,36,23,23,17,17
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",11,7,9,10,8,9,9,9,6,6
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",2,1,1,1,1,1,1,0s,0s,0s
,"Advertising, public relations and related services  [BS54180]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Administrative and support services  [BS56100],22,13,14,17,15,16,15,14,13,14
,Waste management and remediation services  [BS56200],21,17,7,11,9,10,11,11,9,8
,Educational services  [BS61000],1,2,2,1,1,1,1,1,1,1
,Health care and social assistance  [BS62000],39,40,45,43,46,47,35,33,30,30
,"Arts, entertainment and recreation  [BS71000]",1,2,2,2,2,2,1,1,1,1
,Accommodation and food services  [BS72000],25,29,33,37,33,36,32,36,24,23
,Repair and maintenance  [BS81100],39,38,45,52,53,53,51,44,49,48
,Personal services and private households  [BS81A00],7,8,9,9,9,10,6,7,6,6
,Professional and similar organisations  [BS81300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],0,0,0,0,0,0,0,0,0,0
,Non-profit social assistance  [NP62400],1,1,0s,1,0s,1,0s,0s,1,1
,"Non-profit arts, entertainment and recreation  [NP71000]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Religious organizations  [NP81310],2,6,7,7,7,5,5,6,5,5
,Miscellaneous non-profit institutions serving households  [NPA0000],10,8,9,11,10,11,8,8,9,9
,Educational services (except universities)  [GS611B0],16,44,46,53,55,50,30,37,53,50
,Universities  [GS61130],24,27,30,30,30,30,21,24,17,17
,Hospitals  [GS62200],34,134,146,129,136,122,81,91,101,93
,Nursing and residential care facilities  [GS62300],1,2,3,3,3,4,2,3,3,3
,Other federal government services  [GS91100],50,29,113,131,179,150,209,212,194,223
,Other provincial and territorial government services  [GS91200],15,59,71,79,68,57,58,66,56,51
,Other municipal government services  [GS91300],70,73,79,72,68,59,50,56,51,48
,Other aboriginal government services  [GS91400],1,1,1,1,1,14,13,18,20,18
,"Total, households","2,364","2,253","2,522","2,409","2,449","2,728","2,547","2,461","2,195","2,104"
,Households: Motor fuels and lubricants,"1,742","1,711","1,926","1,897","1,809","1,900","1,671","1,628","1,422","1,439"
,Households: Electricity and other fuels,622,542,596,512,640,829,876,832,773,665
Prince Edward Island,"Total, industries and households","1,909","1,597","1,573","1,513","1,615","1,667","1,658","1,692","1,648","1,661"
,"Total, industries",923,744,787,794,830,816,837,853,899,913
,Crop and animal production  [BS11A00],345,294,..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,317,308,350,339,356,359,362,384
,Cannabis production (licensed)  [BS111CL],..,..,0s,0s,0s,0s,1,3,10,14
,Cannabis production (unlicensed)  [BS111CU],..,..,0s,0s,0s,0s,0s,0s,0s,0s
,Forestry and logging  [BS11300],11,9,9,11,12,16,12,11,11,6
,"Fishing, hunting and trapping  [BS11400]",35,27,28,55,59,69,70,80,69,67
,Support activities for agriculture and forestry  [BS11500],2,3,4,4,4,4,5,4,3,3
,Oil and gas extraction  [BS21100],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Coal mining  [BS21210],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Metal ore mining  [BS21220],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Non-metallic mineral mining and quarrying  [BS21230],1,1,1,1,1,1,1,1,0s,1
,Support activities for mining and oil and gas extraction  [BS21300],1,1,1,1,1,0s,1,0s,0s,0s
,"Electric power generation, transmission and distribution  [BS22110]",11,4,4,14,4,8,4,2,2,3
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",0s,0s,0s,0s,16,3,8,8,6,6
,Residential building construction  [BS23A00],5,4,4,6,7,8,9,11,11,10
,Non-residential building construction  [BS23B00],1,1,2,2,3,4,4,4,4,4
,Transportation engineering construction  [BS23C10],6,0s,2,3,3,3,3,4,5,4
,Oil and gas engineering construction  [BS23C20],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electric power engineering construction  [BS23C30],1,3,1,1,1,1,0s,0s,0s,0s
,Communication engineering construction  [BS23C40],1,0s,1,1,1,1,2,1,1,1
,Other engineering construction  [BS23C50],1,1,1,1,2,2,2,3,3,3
,Repair construction  [BS23D00],4,2,3,5,5,4,5,4,5,5
,Other activities of the construction industry  [BS23E00],3,3,3,4,4,3,3,3,4,4
,Animal food manufacturing  [BS31110],0s,0s,0s,0s,0s,1,0s,0s,0s,0s
,Sugar and confectionery product manufacturing  [BS31130],0s,0,0,0,0,0,0,0,0,0
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],164,108,77,52,55,60,36,53,115,108
,Dairy product manufacturing  [BS31150],26,2,1,4,4,2,6,7,8,1
,Meat product manufacturing  [BS31160],2,1,2,4,2,2,1,1,1,1
,Seafood product preparation and packaging  [BS31170],7,3,6,10,15,7,8,8,7,7
,Miscellaneous food manufacturing  [BS311A0],1,0s,0s,1,0s,0s,1,0s,0s,0s
,Soft drink and ice manufacturing  [BS31211],1,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Breweries  [BS31212],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Wineries and distilleries  [BS3121A],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
,Textile and textile product mills  [BS31A00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Clothing and leather and allied product manufacturing  [BS31B00],0s,0s,0s,0s,0s,0s,0s,1,0s,1
,Wood product manufacturing  [BS32100] 12,1,1,34,2,2,1,2,1,1,1
,"Pulp, paper and paperboard mills  [BS32210] 12",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Converted paper product manufacturing  [BS32220],1,1,1,6,5,5,6,1,1,1
,Printing and related support activities  [BS32300],0s,0s,0s,0s,0s,1,0s,0s,0s,0s
,Petroleum and coal product manufacturing  [BS32400],1,1,1,1,1,1,1,2,2,2
,Basic chemical manufacturing  [BS32510],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",1,1,1,2,1,3,4,5,5,5
,Pharmaceutical and medicine manufacturing  [BS32540],1,1,10,3,3,2,2,2,1,1
,Miscellaneous chemical product manufacturing  [BS325C0] 13,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Plastic product manufacturing  [BS32610],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Rubber product manufacturing  [BS32620],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],0s,0s,0s,0s,0s,0s,1,1,1,1
,Cement and concrete product manufacturing  [BS32730],4,2,0s,1,5,3,3,4,4,4
,Primary metal manufacturing  [BS33100],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Fabricated metal product manufacturing  [BS33200],2,1,1,2,3,5,2,5,1,8
,Machinery manufacturing  [BS33300],1,0s,1,1,2,1,1,1,1,1
,Computer and peripheral equipment manufacturing  [BS33410],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electronic product manufacturing  [BS334B0],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electrical  equipment and component manufacturing  [BS335A0],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Household appliance manufacturing  [BS33520],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle manufacturing  [BS33610],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle body and trailer manufacturing  [BS33620],0s,0s,0s,0s,0s,0s,1,1,0s,0s
,Motor vehicle parts manufacturing  [BS33630],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Aerospace product and parts manufacturing  [BS33640],1,1,0s,0s,0s,0s,0s,0s,0s,0s
,Railroad rolling stock manufacturing  [BS33650],0s,0,0,0,0,0,0,0,0,0
,Ship and boat building  [BS33660],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Other transportation equipment manufacturing  [BS33690],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Furniture and related product manufacturing  [BS33700],0s,0s,0s,0s,0s,0s,0s,1,0s,0s
,Miscellaneous manufacturing  [BS33900],1,1,0s,0s,0s,0s,0s,0s,0s,0s
,Wholesale trade  [BS41000],7,11,13,14,16,13,16,16,16,16
,Retail trade  [BS4A000],22,22,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,22,23,25,22,26,25,26,26
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,0s,0,0
,Cannabis stores (unlicensed)  [BS453BU],..,..,0s,0s,0s,0s,0s,0s,0s,0s
,Air transportation  [BS48100],8,7,7,7,7,11,9,9,3,3
,Rail transportation  [BS48200],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Water transportation  [BS48300],25,20,23,28,29,24,25,20,20,20
,Truck transportation  [BS48400],88,82,92,98,74,81,83,76,74,81
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",4,3,4,3,8,6,5,5,4,4
,Pipeline transportation  [BS48600],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Postal service and couriers and messengers  [BS49A00],2,2,1,1,1,1,1,1,1,1
,Warehousing and storage  [BS49300],0s,0s,0s,0s,0s,0s,0s,0s,1,1
,Motion picture and sound recording industries  [BS51200],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Radio and television broadcasting  [BS51510],0s,0s,0s,0,0s,0s,0s,0,0,0
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",2,2,2,1,9,8,5,3,2,2
,Depository credit intermediation and monetary authorities  [BS52B00],2,1,1,1,1,1,1,1,1,1
,Insurance carriers  [BS52410],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Lessors of real estate  [BS53110],30,33,24,28,11,15,19,19,22,20
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],2,2,1,2,2,2,2,2,1,2
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",19,18,14,13,7,8,10,9,6,6
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",1,1,0s,0s,0s,0s,0s,0s,0s,0s
,"Advertising, public relations and related services  [BS54180]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Administrative and support services  [BS56100],4,3,3,4,3,3,3,3,4,4
,Waste management and remediation services  [BS56200],9,8,7,6,7,6,9,10,12,11
,Educational services  [BS61000],1,1,1,1,0s,1,1,1,1,1
,Health care and social assistance  [BS62000],7,8,5,5,4,4,5,5,5,5
,"Arts, entertainment and recreation  [BS71000]",1,1,1,0s,0s,0s,0s,0s,0s,0s
,Accommodation and food services  [BS72000],10,9,9,11,12,11,14,14,14,13
,Repair and maintenance  [BS81100],6,3,4,4,5,4,5,5,4,5
,Personal services and private households  [BS81A00],1,1,1,1,1,1,1,1,1,1
,Professional and similar organisations  [BS81300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],0,0,0,0,0,0,0,0,0,0
,Non-profit social assistance  [NP62400],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Non-profit arts, entertainment and recreation  [NP71000]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Religious organizations  [NP81310],0s,1,0s,0s,0s,0s,0s,0s,1,1
,Miscellaneous non-profit institutions serving households  [NPA0000],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Educational services (except universities)  [GS611B0],4,6,4,4,2,3,4,4,4,4
,Universities  [GS61130],1,3,2,2,1,1,2,2,2,2
,Hospitals  [GS62200],0s,1,0s,0s,0s,0s,0s,0s,0s,0s
,Nursing and residential care facilities  [GS62300],0s,1,0s,0s,0s,0s,0s,0s,0s,0s
,Other federal government services  [GS91100],5,4,15,12,11,12,14,15,10,10
,Other provincial and territorial government services  [GS91200],6,5,4,8,8,7,6,5,7,7
,Other municipal government services  [GS91300],9,6,6,6,6,5,6,6,6,6
,Other aboriginal government services  [GS91400],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Total, households",987,854,787,720,785,851,821,839,749,749
,Households: Motor fuels and lubricants,524,456,451,454,479,500,470,475,413,438
,Households: Electricity and other fuels,462,397,335,266,306,351,351,364,336,310
Nova Scotia,"Total, industries and households","20,453","19,116","17,802","17,777","16,575","17,095","17,582","16,762","14,381","14,203"
,"Total, industries","15,328","14,334","13,357","12,802","11,928","12,323","12,665","11,984","10,267","10,130"
,Crop and animal production  [BS11A00],607,559,..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,455,444,436,475,472,437,461,456
,Cannabis production (licensed)  [BS111CL],..,..,0s,0s,1,2,8,7,21,19
,Cannabis production (unlicensed)  [BS111CU],..,..,3,3,3,4,3,2,2,2
,Forestry and logging  [BS11300],115,186,177,165,159,169,164,132,77,75
,"Fishing, hunting and trapping  [BS11400]",194,220,209,256,252,311,325,349,320,319
,Support activities for agriculture and forestry  [BS11500],95,53,45,61,56,64,64,66,37,35
,Oil and gas extraction  [BS21100],650,637,844,644,504,339,243,17,17,17
,Coal mining  [BS21210],83,82,1,1,1,72,113,171,13,12
,Metal ore mining  [BS21220],0s,0s,0s,0s,0s,2,10,12,12,6
,Non-metallic mineral mining and quarrying  [BS21230],42,29,28,31,24,25,26,32,24,34
,Support activities for mining and oil and gas extraction  [BS21300],110,69,31,33,35,63,41,50,51,46
,"Electric power generation, transmission and distribution  [BS22110]","7,601","7,487","7,120","6,895","6,327","6,617","6,936","6,677","6,321","6,065"
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",3,4,3,4,4,4,7,8,5,4
,Residential building construction  [BS23A00],25,24,22,36,46,43,54,52,57,68
,Non-residential building construction  [BS23B00],9,8,7,8,9,7,9,8,6,8
,Transportation engineering construction  [BS23C10],18,14,15,16,20,17,16,17,19,23
,Oil and gas engineering construction  [BS23C20],2,2,1,1,1,0s,0s,0s,1,1
,Electric power engineering construction  [BS23C30],6,3,4,4,12,17,6,5,3,4
,Communication engineering construction  [BS23C40],1,2,2,2,4,5,7,4,6,7
,Other engineering construction  [BS23C50],2,2,1,2,4,3,2,2,2,3
,Repair construction  [BS23D00],18,11,11,16,21,20,25,20,18,22
,Other activities of the construction industry  [BS23E00],17,14,14,17,19,16,19,18,15,17
,Animal food manufacturing  [BS31110],7,8,8,5,3,5,7,9,4,4
,Sugar and confectionery product manufacturing  [BS31130],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],11,15,23,6,5,4,4,5,6,8
,Dairy product manufacturing  [BS31150],15,12,4,5,5,6,9,10,7,8
,Meat product manufacturing  [BS31160],8,33,38,12,14,16,37,31,6,9
,Seafood product preparation and packaging  [BS31170],39,80,85,50,44,38,42,47,30,34
,Miscellaneous food manufacturing  [BS311A0],10,15,15,21,18,15,19,19,15,16
,Soft drink and ice manufacturing  [BS31211],4,1,2,3,2,1,3,2,1,1
,Breweries  [BS31212],4,3,2,4,5,6,8,11,7,9
,Wineries and distilleries  [BS3121A],1,1,1,1,1,1,2,2,2,2
,Tobacco manufacturing  [BS31220],0s,0s,0s,0s,0,0,0,0,0s,0s
,Textile and textile product mills  [BS31A00],5,17,21,8,6,10,4,3,1,1
,Clothing and leather and allied product manufacturing  [BS31B00],3,13,1,1,1,2,3,3,1,1
,Wood product manufacturing  [BS32100] 12,142,128,167,161,176,187,146,144,128,142
,"Pulp, paper and paperboard mills  [BS32210] 12","1,125",714,"1,094",935,927,929,918,819,1,1
,Converted paper product manufacturing  [BS32220],13,13,13,19,17,18,15,14,15,16
,Printing and related support activities  [BS32300],4,1,3,3,4,5,2,2,1,1
,Petroleum and coal product manufacturing  [BS32400],971,836,31,9,8,7,11,7,6,6
,Basic chemical manufacturing  [BS32510],14,17,22,1,4,3,3,7,28,32
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",1,4,2,1,3,4,5,4,5,5
,Pharmaceutical and medicine manufacturing  [BS32540],2,2,7,4,2,5,2,3,4,5
,Miscellaneous chemical product manufacturing  [BS325C0] 13,5,3,2,2,1,1,2,2,2,1
,Plastic product manufacturing  [BS32610],6,9,6,6,24,24,41,28,13,16
,Rubber product manufacturing  [BS32620],99,32,48,55,40,44,80,71,32,39
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],11,5,7,12,6,9,11,8,7,8
,Cement and concrete product manufacturing  [BS32730],326,281,286,291,295,235,233,188,190,244
,Primary metal manufacturing  [BS33100],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Fabricated metal product manufacturing  [BS33200],15,16,13,14,13,13,31,36,13,16
,Machinery manufacturing  [BS33300],4,5,2,3,3,2,3,4,3,3
,Computer and peripheral equipment manufacturing  [BS33410],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electronic product manufacturing  [BS334B0],2,4,2,1,1,1,1,2,1,1
,Electrical  equipment and component manufacturing  [BS335A0],1,1,1,0s,1,1,5,7,1,2
,Household appliance manufacturing  [BS33520],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Motor vehicle manufacturing  [BS33610],1,1,1,1,1,0s,0s,0s,1,1
,Motor vehicle body and trailer manufacturing  [BS33620],0s,0s,0s,0s,0s,0s,1,0s,0s,0s
,Motor vehicle parts manufacturing  [BS33630],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Aerospace product and parts manufacturing  [BS33640],8,8,4,5,10,11,6,7,14,17
,Railroad rolling stock manufacturing  [BS33650],0s,0s,0s,0s,0,0,0,0,0s,0s
,Ship and boat building  [BS33660],5,2,3,5,4,6,8,9,9,11
,Other transportation equipment manufacturing  [BS33690],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Furniture and related product manufacturing  [BS33700],5,4,2,2,2,4,5,5,2,2
,Miscellaneous manufacturing  [BS33900],3,5,3,3,3,3,7,7,3,3
